Ma,So phien tang dai nhat,Muc tang tung phien trong chuoi (%),Tong % tang cua chuoi,Trung binh % tang moi phien,Mã,Final Decision,Decision Mode,Meta Allocation %,Meta Exposure,Regime Strength,Equity State,Meta Allocation %_meta,Decision Mode_meta,Nhóm realtime,Ưu tiên,Điểm V15.3 cuối cùng,Kết luận V15.3
IDC,7,"[2.82, 1.49, 1.79, 4.99, 0.33, 3.89, 0.82]",16.13,2.3,IDC,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
CTG,7,"[0.19, 2.0, 0.5, 1.68, 2.99, 1.17, 1.03]",9.56,1.37,CTG,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
VCI,7,"[0.56, 0.91, 2.31, 0.96, 1.67, 1.23, 0.15]",7.79,1.11,VCI,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
DXG,7,"[0.32, 6.85, 3.55, 6.86, 0.62, 0.62, 0.62]",19.44,2.78,DXG,,,0.0,,,,,,TOP THEO DÕI,THẤP,0.0,
BID,7,"[0.66, 1.79, 0.79, 1.89, 0.11, 0.14, 0.91]",6.29,0.9,BID,,,0.0,,,,,,,,0.0,
PVS,7,"[1.07, 1.08, 2.12, 0.28, 1.02, 0.53, 0.25]",6.35,0.91,PVS,,,0.0,,,,,,,,0.0,
VGC,7,"[3.92, 0.72, 1.46, 6.94, 6.86, 1.79, 6.65]",28.34,4.05,VGC,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
NKG,7,"[0.59, 0.41, 0.24, 1.88, 0.17, 1.04, 1.6]",5.93,0.85,NKG,,,0.0,,,,,,TOP THEO DÕI,THẤP,0.0,
NBB,7,"[0.43, 2.77, 1.24, 1.23, 0.61, 6.84, 0.94]",14.06,2.01,NBB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
SHS,7,"[2.14, 3.63, 0.48, 0.53, 1.47, 0.52, 0.46]",9.23,1.32,SHS,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
EVF,7,"[1.84, 1.1, 6.85, 6.41, 0.27, 1.57, 0.94]",18.98,2.71,EVF,,,0.0,,,,,,TOP THEO DÕI,THẤP,0.0,
MBB,7,"[1.53, 0.19, 0.56, 1.92, 0.37, 1.46, 0.36]",6.39,0.91,MBB,,,0.0,,,,,,,,0.0,
VCB,7,"[0.35, 4.01, 6.88, 6.75, 6.92, 1.79, 2.7]",29.4,4.2,VCB,,,0.0,,,,,,,,0.0,
HDG,7,"[1.12, 0.2, 6.93, 6.81, 3.04, 2.18, 2.59]",22.87,3.27,HDG,,,0.0,,,,,,,,0.0,
IDI,7,"[0.14, 0.28, 0.7, 1.67, 0.14, 0.96, 4.61]",8.5,1.21,IDI,,,0.0,,,,,,,,0.0,
TPB,7,"[0.86, 0.62, 0.54, 0.54, 0.31, 0.3, 0.84]",4.01,0.57,TPB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
ACB,7,"[0.88, 0.87, 0.25, 0.41, 0.86, 1.75, 1.03]",6.05,0.86,ACB,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
BMP,7,"[2.67, 2.6, 0.37, 1.8, 1.56, 0.56, 5.56]",15.12,2.16,BMP,,,0.0,,,,,,,,0.0,
VNM,7,"[0.79, 1.09, 0.47, 0.61, 0.3, 0.32, 3.33]",6.91,0.99,VNM,,,0.0,,,,,,,,0.0,
CMG,7,"[1.28, 1.73, 0.51, 1.34, 0.35, 6.98, 3.26]",15.45,2.21,CMG,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
CRE,7,"[2.95, 0.69, 0.8, 0.68, 0.22, 3.91, 0.22]",9.47,1.35,CRE,,,0.0,,,,,,,,0.0,
TCH,7,"[5.53, 6.93, 2.94, 0.21, 1.06, 2.4, 4.18]",23.25,3.32,TCH,,,0.0,,,,,,TOP THEO DÕI,THẤP,0.0,
SGT,7,"[2.07, 0.87, 3.16, 0.28, 0.28, 4.71, 1.06]",12.43,1.78,SGT,,,0.0,,,,,,,,0.0,
ABB,6,"[1.59, 1.57, 0.67, 3.06, 2.23, 6.45]",15.57,2.6,ABB,WATCHLIST,ĐÁNH RẤT NHỎ,3.118,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,3.118,ĐÁNH RẤT NHỎ,,,69.0,REGIME FIT VỪA
ABB,6,"[1.59, 1.57, 0.67, 3.06, 2.23, 6.45]",15.57,2.6,ABB,WATCHLIST,ĐÁNH RẤT NHỎ,3.118,0.1056,SIDEWAY TRUNG TÍNH,GIẢM TỐC,3.118,ĐÁNH RẤT NHỎ,,,31.0,CẦN THEO DÕI THÊM
CTS,6,"[4.19, 7.0, 6.99, 3.68, 6.67, 4.43]",32.96,5.49,CTS,,,0.0,,,,,,,,25.0,CẦN THEO DÕI THÊM
SHB,6,"[0.24, 7.02, 5.11, 3.17, 0.41, 0.82]",16.77,2.8,SHB,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
