pattern,conditions,n,win,fail,flat,winrate_pct,failrate_pct,avg_ret_t2_pct,avg_ret_t5_pct,avg_drawdown_t5_pct,combo_size,rule_type,action,confidence
COMBO_3,stock_ret20 > 15% + volatility_contraction20 > 1.3 + label:volume_context_VOLUME_CẠN,40,18,17,5,45.0,42.5,1.046,0.464,-6.708,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + volatility_contraction20 > 1.3 + label:score_bucket_80+,113,51,48,14,45.13,42.48,0.441,0.899,-5.518,3,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_3,stock_dist_ma20 > 8% + market_ret20 < -5% + market_context risk-off,33,16,14,3,48.48,42.42,1.732,4.506,-5.636,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_dist_ma20 > 8% + market_ret20 < -5% + label:entry_context_ENTRY_XA_MA20___FOMO,33,16,14,3,48.48,42.42,1.732,4.506,-5.636,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_dist_ma20 > 8% + market_ret20 < -5% + label:structure_context_KHÔNG_RÕ_NỀN,33,16,14,3,48.48,42.42,1.732,4.506,-5.636,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_dist_ma20 > 8% + market_ret20 < -5% + label:market_context_MARKET_RISK-OFF,33,16,14,3,48.48,42.42,1.732,4.506,-5.636,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,market_ret20 < -5% + market_context risk-off + label:entry_context_ENTRY_XA_MA20___FOMO,33,16,14,3,48.48,42.42,1.732,4.506,-5.636,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + market_ret20 < -5% + label:market_regime_RẤT_YẾU,38,18,16,4,47.37,42.11,0.703,2.751,-5.812,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + stock_dist_ma20 > 8% + volatility_contraction20 > 1.3,88,40,37,11,45.45,42.05,0.734,1.17,-6.116,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + stock_dist_ma20 > 8% + label:volatility_context_VOLATILITY_MỞ_RỘNG,88,40,37,11,45.45,42.05,0.734,1.17,-6.116,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + volatility_contraction20 > 1.3 + label:entry_context_ENTRY_XA_MA20___FOMO,88,40,37,11,45.45,42.05,0.734,1.17,-6.116,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
